raw_material,Impact category,Unit,AR,AT,BG,BR,CA,CH,CN,CZ,DE,ES,FR,GR,HU,IN,IT,JP,MX,PY,RO,RU,SI,SK,TR,UA,VN
Soybeans,Climate change,kg CO2 eq,5.482039909,0.746782296,1.115655921,5.60384954,0.969733773,0.730268516,0.704115057,0.952770596,0.889637107,1.353603947,0.731683,0.748029335,1.212581681,2.469860214,0.66682456,1.418656116,0.819349348,9.836854607,1.051662498,0.839271134,1.193137005,1.537449239,0.407427658,0.824344539,0.868910839
Soybeans,Ozone depletion,kg CFC11 eq,5.08813E-09,3.74293E-09,4.43251E-09,3.55364E-09,2.92071E-09,5.40012E-09,9.06123E-09,3.64438E-09,5.11637E-09,8.29934E-08,2.3854E-08,2.92819E-09,3.945E-09,4.74957E-09,4.00115E-09,1.18174E-08,5.15965E-09,4.28654E-09,7.5385E-09,3.62206E-09,5.06708E-09,9.34406E-09,2.02347E-09,5.09141E-09,4.66014E-09
Soybeans,Ionising radiation,kBq U-235 eq,0.008133775,0.00606393,0.007176572,0.005827822,0.004720677,0.008714949,0.014571308,0.005929192,0.008286728,0.131318596,0.037795675,0.004745808,0.006387664,0.007753108,0.006479499,0.019129282,0.008302277,0.006857834,0.012055302,0.005838617,0.008245629,0.014952183,0.003316174,0.008179967,0.007725772
Soybeans,Photochemical ozone formation,kg NMVOC eq,0.000728513,0.001728099,0.002555116,0.001156093,0.000810788,0.002015387,0.002203075,0.001336982,0.001805963,0.006394501,0.001546175,0.001630921,0.001927663,0.002915979,0.001535604,0.002541642,0.002557867,0.00103058,0.003197157,0.001935611,0.002018216,0.00197474,0.001110155,0.002019131,0.002421954
Soybeans,Particulate matter,disease inc.,1.66816E-08,8.71457E-08,7.67103E-08,3.7444E-08,2.29337E-08,1.65839E-07,1.09433E-07,8.1428E-08,1.31664E-07,1.48787E-07,6.77243E-08,6.34089E-08,6.83265E-08,1.07143E-07,9.39318E-08,1.5954E-07,9.03749E-08,2.17821E-08,1.27333E-07,6.02241E-08,1.06902E-07,9.46375E-08,3.81879E-08,5.37166E-08,1.57796E-07
Soybeans,"Human toxicity, non-cancer",CTUh,1.61737E-08,6.62078E-08,2.85592E-08,7.02004E-08,2.79918E-08,1.27899E-07,9.53617E-08,4.71831E-08,9.77529E-08,3.64994E-08,4.93745E-08,3.21665E-08,4.44111E-08,5.25837E-08,5.0932E-08,2.47804E-07,7.98838E-08,6.78737E-08,3.4479E-08,3.9274E-08,9.18164E-08,5.46894E-08,2.70022E-08,3.38471E-08,1.10301E-07
Soybeans,"Human toxicity, cancer",CTUh,2.72831E-10,3.03743E-09,6.84158E-10,1.15068E-09,5.31202E-10,6.76533E-09,2.21005E-09,1.38813E-09,4.30045E-09,2.11875E-09,1.48906E-09,6.01565E-10,1.37924E-09,6.14523E-10,1.54261E-09,4.15274E-09,2.77997E-09,4.1187E-10,1.29359E-09,1.19611E-09,3.04333E-09,1.37223E-09,2.52822E-10,7.47384E-10,2.30594E-09
Soybeans,Acidification,mol H+ eq,0.001806514,0.011281519,0.00918156,0.004525016,0.0026799,0.02256899,0.01411663,0.010979763,0.017836467,0.014831943,0.008588005,0.007799782,0.008448067,0.013244292,0.012445386,0.021190167,0.011348875,0.002266377,0.012843809,0.007227252,0.014073999,0.012362168,0.004743575,0.00608016,0.021237271
Soybeans,"Eutrophication, freshwater",kg P eq,0.000101129,0.000383177,5.02604E-05,0.000693209,0.000318041,0.000532305,0.000478388,0.000274056,0.000432236,0.000129202,0.000331732,0.000117122,0.000250498,0.0005709,0.000220231,0.001274695,0.000461653,0.000117976,0.000123157,0.000215476,0.000647661,0.000353229,0.00027861,0.000141655,0.00095413
Soybeans,"Eutrophication, marine",kg N eq,0.004026145,0.010428037,0.015805592,0.005457957,0.004573019,0.016662816,0.012643253,0.013055277,0.015377179,0.008448375,0.008859721,0.009514595,0.011814169,0.013504099,0.010947409,0.016601267,0.008275287,0.004370686,0.012064757,0.010559658,0.014769408,0.0149964,0.007908482,0.008336887,0.018044252
Soybeans,"Eutrophication, terrestrial",mol N eq,0.007468965,0.050486758,0.04135549,0.01989281,0.011731731,0.100709184,0.062339979,0.048961399,0.079516176,0.05084329,0.038120853,0.034238714,0.037952247,0.059608779,0.055245242,0.093242303,0.045741224,0.009840107,0.049253301,0.032577689,0.062728263,0.054876167,0.021271434,0.027250946,0.094822297
Soybeans,"Ecotoxicity, freshwater",CTUe,84.39429148,51.59995541,38.30275344,178.0242013,39.59328139,60.65335438,324.2064101,43.57690779,137.2345265,60.89284229,49.41219666,132.8557509,47.55708437,29.34910295,89.46087686,1023.98426,148.6666508,682.7793897,22.48695956,51.24827694,38.90826803,35.27212919,41.39564659,132.1815535,77.12246006
Soybeans,Land use,Pt,197.2084125,188.2680046,329.7239902,195.8551542,172.6722991,189.6524085,160.9431637,223.5173839,225.8766185,163.4451194,180.9992121,178.0873737,216.7380459,323.5120864,134.4620187,291.9898289,294.2221499,195.8204803,234.0964572,379.8137477,195.6616929,247.6255227,115.8100972,242.8845753,228.1216388
Soybeans,Water use,m3 depriv.,0.254167063,0.014110553,0.232502769,0.014547124,0.010728808,0.015887699,10.32794524,0.015312119,0.01708748,197.4351966,3.041483794,3.70477967,0.023430659,0.683072765,5.686153073,0.028228949,14.31008483,0.012285566,5.241415104,0.021074155,0.018091334,0.211286724,0.009327277,0.016893888,0.022969269
Soybeans,"Resource use, fossils",MJ,1.929955152,3.815405754,5.729388397,3.083046461,2.001984478,4.623186423,5.589731438,3.679591761,4.516674491,18.00482027,4.577963537,3.72648143,4.404225154,6.477076277,3.786255934,7.345053472,6.768444499,2.286899903,6.728954235,4.069490194,5.17043897,5.273490701,2.804811563,4.284524216,6.632460288
Soybeans,"Resource use, minerals and metals",kg Sb eq,9.098E-08,2.29779E-07,3.11314E-07,2.00434E-07,1.2489E-07,2.40572E-07,2.91794E-07,1.61694E-07,2.17329E-07,6.8254E-07,2.08313E-07,2.04111E-07,2.5107E-07,4.15393E-07,1.91911E-07,3.82619E-07,3.2006E-07,1.36917E-07,3.70605E-07,2.5089E-07,2.78037E-07,2.51038E-07,1.5917E-07,2.66653E-07,3.54912E-07
Soybeans,Climate change - Fossil,kg CO2 eq,0.267179125,0.541892232,0.923975934,0.352953149,0.274150388,0.730268516,0.704115057,0.615124684,0.705529501,1.353603947,0.49954903,0.527342242,0.653048723,0.850301237,0.519139448,0.890491504,0.718666489,0.30495071,0.840639729,0.651159414,0.736455253,0.765007645,0.39209417,0.552717664,0.868910839
Soybeans,Climate change - Biogenic,kg CO2 eq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soybeans,Climate change - Land use and LU change,kg CO2 eq,5.214860784,0.204890064,0.191679986,5.250896391,0.695583386,0,0,0.337645912,0.184107606,0,0.23213397,0.220687093,0.559532958,1.619558976,0.147685112,0.528164613,0.10068286,9.531903897,0.211022769,0.18811172,0.456681752,0.772441594,0.015333487,0.271626876,0
Soybeans,"Human toxicity, non-cancer - organics",CTUh,8.16894E-09,3.81892E-09,2.96371E-09,1.52011E-08,3.6814E-09,4.42654E-09,2.79816E-08,3.79394E-09,1.04703E-08,4.46278E-09,3.67847E-09,1.02241E-08,3.61206E-09,2.43227E-09,6.61018E-09,8.50368E-08,1.36182E-08,5.76415E-08,1.73914E-09,4.34036E-09,2.56306E-09,2.73069E-09,3.43539E-09,1.15651E-08,6.46301E-09
Soybeans,"Human toxicity, non-cancer - inorganics",CTUh,6.59328E-11,9.97696E-11,9.83487E-11,6.79413E-11,4.9269E-11,1.67474E-10,1.70084E-10,9.54352E-11,1.43265E-10,5.49481E-10,1.75836E-10,8.13498E-11,8.98261E-11,1.28295E-10,9.9987E-11,2.36845E-10,5.38467E-10,6.10252E-11,1.34797E-10,8.29807E-11,1.29471E-10,1.32551E-10,5.02362E-11,9.13355E-11,1.61865E-10
Soybeans,"Human toxicity, non-cancer - metals",CTUh,7.93879E-09,6.22891E-08,2.54971E-08,5.49314E-08,2.42611E-08,1.23305E-07,6.721E-08,4.32937E-08,8.71393E-08,3.14871E-08,4.55202E-08,2.1861E-08,4.07092E-08,5.00232E-08,4.42219E-08,1.6253E-07,6.57304E-08,1.01711E-08,3.26051E-08,3.48506E-08,8.91239E-08,5.18261E-08,2.35166E-08,2.21907E-08,1.03677E-07
Soybeans,"Human toxicity, cancer - organics",CTUh,4.14041E-11,4.32205E-11,5.94106E-11,4.071E-11,2.91901E-11,5.03737E-11,8.77902E-11,3.80514E-11,4.35383E-11,1.54859E-10,3.88848E-11,3.86528E-11,4.62042E-11,7.15466E-11,3.80671E-11,1.07443E-10,7.15985E-11,4.58208E-11,7.39269E-11,4.91776E-11,4.87224E-11,4.50361E-11,2.76288E-11,6.39062E-11,6.1863E-11
Soybeans,"Human toxicity, cancer - inorganics",CTUh,3.26411E-20,1.34711E-20,4.89449E-21,1.59429E-20,1.35989E-20,2.66233E-20,5.25689E-20,1.4288E-20,2.38845E-20,1.03472E-20,2.01774E-20,5.67022E-21,1.13925E-20,2.85492E-21,1.0805E-20,7.76469E-20,1.8841E-20,2.40269E-20,5.02497E-21,4.82518E-21,2.1074E-20,1.09429E-20,3.78867E-21,2.01007E-20,9.25797E-21
Soybeans,"Human toxicity, cancer - metals",CTUh,2.31427E-10,2.99421E-09,6.24747E-10,1.10997E-09,5.02012E-10,6.71496E-09,2.12226E-09,1.35007E-09,4.25691E-09,1.96389E-09,1.45017E-09,5.62912E-10,1.33304E-09,5.42977E-10,1.50454E-09,4.04529E-09,2.70837E-09,3.66049E-10,1.21966E-09,1.14693E-09,2.99461E-09,1.3272E-09,2.25194E-10,6.83478E-10,2.24407E-09
Soybeans,"Ecotoxicity, freshwater - organics",CTUe,84.35871586,50.03163448,37.68993297,176.9074407,39.24390871,57.62599013,321.5550479,42.37143658,135.0066183,58.5235326,47.68332222,132.4103011,46.52609129,27.95775239,87.88928501,1016.360655,144.1244311,682.6066062,21.73492934,50.61701591,35.89455676,34.01538992,40.91442604,131.6048521,74.55566289
Soybeans,"Ecotoxicity, freshwater - inorganics",CTUe,0.13767997,0.574848736,0.488980991,0.272780595,0.169771582,1.092973305,0.752381607,0.550413806,0.87720993,0.832684699,0.466282659,0.406252085,0.451957512,0.702618203,0.653827804,1.119680833,1.598434842,0.158461935,0.59307294,0.400180065,0.726311831,0.63135764,0.260708833,0.354892344,1.058168037
Soybeans,"Ecotoxicity, freshwater - metals",CTUe,-0.102104358,0.993472196,0.123839478,0.843979954,0.179601098,1.934390944,1.898980566,0.655057406,1.350698271,1.536624986,1.262591787,0.039197655,0.579035576,0.688732352,0.917764043,6.503923612,2.943784879,0.014321516,0.158957285,0.231080965,2.287399437,0.62538163,0.220511718,0.221809001,1.508629132