raw_material,Impact category,Unit,AR,AT,AU,BG,CA,CH,CN,CZ,DE,EG,ES,FR,GR,HU,IN,IT,PL,RO,RU,SK,TR,UA,US
Sunflower seed,Global warming,kg CO2 eq,0.457947382,0.634720856,0.878102316,1.04969544,0.979783787,1.013879685,0.717918872,0.659109719,0.79790371,1.220911349,1.409375093,0.656015441,1.186730546,0.808949767,1.519630677,0.876216467,0.870303062,1.023165147,0.764518866,0.974573077,0.951379477,0.900934267,0.808696847
Sunflower seed,Stratospheric ozone depletion,kg CFC11 eq,5.46844E-06,1.0474E-05,1.28692E-05,1.32989E-05,1.65458E-05,1.6492E-05,1.10924E-05,1.27314E-05,1.45261E-05,2.09197E-05,1.1787E-05,1.03888E-05,1.07867E-05,1.16645E-05,1.65937E-05,1.46949E-05,1.2412E-05,1.27665E-05,9.03001E-06,1.28886E-05,1.50143E-05,1.05735E-05,1.36895E-05
Sunflower seed,Ionizing radiation,kBq Co-60 eq,0.007406784,0.004093042,0.006711916,0.002844136,0.005212413,0.006573898,0.007161428,0.003558287,0.005605871,0.004189554,0.031977918,0.00613008,0.005107819,0.003426626,0.006816997,0.006026794,0.005437631,0.003919289,0.003060087,0.004554066,0.003763555,0.005073498,0.005950562
Sunflower seed,"Ozone formation, Human health",kg NOx eq,0.001033175,0.001746066,0.002082443,0.001799128,0.002280133,0.00216778,0.001865516,0.001307756,0.001840249,0.003783824,0.005319774,0.001624576,0.002987718,0.001702654,0.005167697,0.002308838,0.002513078,0.00243224,0.001783957,0.001565971,0.002535746,0.002098755,0.001762411
Sunflower seed,Fine particulate matter formation,kg PM2.5 eq,0.000447967,0.00117005,0.001573481,0.000740189,0.001976573,0.002282338,0.001464518,0.001013211,0.001716007,0.002573362,0.002770431,0.001093982,0.001713853,0.000816743,0.002786382,0.001971569,0.001408184,0.001318989,0.000748375,0.000997866,0.001348456,0.000899522,0.001571703
Sunflower seed,"Ozone formation, Terrestrial ecosystems",kg NOx eq,0.001043707,0.00176423,0.002102292,0.001816851,0.00230068,0.002189095,0.001884145,0.001319845,0.00185804,0.003821379,0.005375243,0.001641226,0.003016159,0.001719948,0.005221195,0.002331735,0.002539454,0.002456785,0.001802646,0.001581126,0.002563002,0.002120527,0.001778474
Sunflower seed,Terrestrial acidification,kg SO2 eq,0.002252145,0.007696044,0.010576419,0.004161039,0.013038005,0.016300415,0.009819096,0.006904808,0.012031065,0.01731685,0.015372247,0.007086918,0.008039763,0.004900975,0.01756501,0.013599669,0.008835751,0.007785312,0.004267217,0.006509481,0.008125106,0.005050726,0.010529016
Sunflower seed,Freshwater eutrophication,kg P eq,9.71448E-05,0.000409936,0.000354148,3.68971E-05,0.000402551,0.000597518,0.000401576,0.000269663,0.000454066,0.000350297,0.000384713,0.00043881,0.000139841,0.000230938,0.000440678,0.000381608,0.000486989,0.000145642,0.00021215,0.000295416,0.000344285,0.000165737,0.00024477
Sunflower seed,Marine eutrophication,kg N eq,0.002221071,0.003737852,0.004973572,0.004013779,0.006314317,0.00576351,0.004324621,0.004315946,0.005103831,0.007276262,0.00445382,0.003679897,0.003710328,0.003792762,0.006482633,0.005410018,0.004286437,0.004266931,0.003164854,0.00431085,0.005044587,0.003605706,0.005150551
Sunflower seed,Terrestrial ecotoxicity,"kg 1,4-DCB",5.676609376,10.07940277,6.40336046,1.599506876,5.014477479,18.74025105,14.16850117,6.925095547,12.85416846,3.338361555,24.41535009,15.26297764,3.495831646,5.885987446,2.245680216,18.96409879,8.331400609,2.460733636,2.321283317,3.400702036,5.692354701,5.202084126,5.815126704
Sunflower seed,Freshwater ecotoxicity,"kg 1,4-DCB",0.814587596,0.243754943,0.667774786,0.072175006,0.36088749,0.476451075,0.694494305,0.228584536,0.466467197,0.095650901,0.555762934,0.431316122,0.208477897,0.183242996,0.099548141,0.359820668,0.31505109,0.108011834,0.104561674,0.157718805,0.146883853,0.399880319,0.643719263
Sunflower seed,Marine ecotoxicity,"kg 1,4-DCB",0.101036363,0.053798412,0.145371522,0.017295626,0.053669719,0.089933662,0.138637418,0.042678134,0.09897478,0.028864244,0.139278657,0.078899478,0.065996312,0.038016121,0.027766435,0.105846548,0.054547021,0.022579676,0.028993434,0.027656787,0.043479683,0.076578162,0.137305641
Sunflower seed,Human carcinogenic toxicity,"kg 1,4-DCB",0.000329026,0.000403085,0.000470927,0.000164104,0.00048474,0.000716547,0.000535244,0.000314045,0.000513018,0.000441433,0.000794325,0.000431834,0.000340993,0.00026871,0.000568815,0.000531625,0.0004971,0.000294443,0.000271071,0.000281716,0.000429759,0.000336269,0.000512014
Sunflower seed,Human non-carcinogenic toxicity,"kg 1,4-DCB",0.60491471,5.518663427,1.39095927,0.778184237,1.839133213,13.10106296,3.154045008,2.387734672,7.730870148,1.147374636,9.483107796,3.805375247,1.369908604,2.231290229,1.347341909,5.341029835,4.827854826,2.520059018,2.032170164,2.087926806,0.979195093,1.453043557,3.745769358
Sunflower seed,Land use,m2a crop eq,5.286241623,4.004910779,8.205845159,4.734177161,5.286307976,4.235714086,3.876039651,4.367993521,4.71724939,3.350633653,9.671891331,4.713131002,4.210899566,3.967672893,15.45547209,4.76425333,5.966470636,5.557378962,7.485393542,4.114123136,4.232403206,5.033904417,5.963969091
Sunflower seed,Mineral resource scarcity,kg Cu eq,0.000396087,0.000970347,0.001290663,0.000209304,0.001389762,0.000877598,0.001186141,0.000792194,0.000915129,0.00131677,0.000731674,0.001221889,0.000532243,0.000693837,0.001865688,0.000914513,0.001354284,0.00043133,0.000693465,0.000921239,0.001269694,0.000593651,0.000604039
Sunflower seed,Fossil resource scarcity,kg oil eq,0.058296263,0.086090247,0.120380482,0.086706064,0.146284652,0.110084109,0.105787696,0.076021579,0.100015711,0.197923534,0.251702127,0.088712612,0.133955922,0.085069416,0.246530608,0.123627406,0.124942752,0.11218771,0.081170338,0.085752815,0.149894956,0.102926307,0.102851479
Sunflower seed,Water consumption,m3,0.012180466,0.000373743,0.000629013,0.010293278,1.305555752,0.000456214,0.347815431,0.000367194,0.000449086,0.919639681,0.943658882,0.011585046,0.65452426,0.001891734,0.649878375,0.069659704,0.000536484,0.119372098,0.009048656,0.054461845,0.265250027,0.024653729,0.117783117