groups,ingredients,marine_diet_1,marine_diet_2,marine_diet_3,plant_diet_1,plant_diet_2,plant_diet_3,marine_trim_diet_1,marine_trim_diet_2,marine_trim_diet_3,balanced_diet_1,balanced_diet_2,balanced_diet_3,novel_diet_1,novel_diet_2,novel_diet_3,Sources
Marine proteins totals,,30,30,30,10,10,10,30,30,30,15,15,15,10,10,10,
Marine proteins,fishmeal-wild,30,0,20,8,8,8,0,0,0,5,5,10,0,0,0,
Marine proteins,krill meal,0,30,5,0,0,0,0,0,0,5,0,0,10,0,0,
Marine proteins,squid meal,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,
Marine proteins,fishmeal-trimmings-wild,0,0,0,2,2,2,30,0,15,0,5,5,0,10,0,
Marine proteins,fishmeal-trimmings-farmed-marine,0,0,0,0,0,0,0,30,15,0,5,0,0,0,10,
Marine oils totals,,20,20,20,15,15,15,20,20,20,5,5,5,5,5,5,
Marine oils,fish oil-wild,20,0,10,10,10,10,0,0,0,3,3,5,0,0,0,
Marine oils,krill oil,0,20,10,0,0,0,0,0,0,2,0,0,5,0,0,
Marine oils,fish oil-trimmings-wild,0,0,0,5,5,5,20,0,10,0,1,0,0,5,0,
Marine oils,fish-oil-trimmings-farmed-marine,0,0,0,0,0,0,0,20,10,0,1,0,0,0,5,
Plant proteins totals,,25,25,25,40,40,40,25,25,25,20,20,20,20,20,20,
Plant proteins,soy protein concentrate,0,0,0,20,0,1,0,0,0,10,10,10,5,5,5,
Plant proteins,soybean meal ,10,10,10,0,20,1,10,10,10,0,0,0,0,0,0,
Plant proteins,wheat gluten,2,2,2,5,5,5,2,2,2,1,1,1,5,5,5,
Plant proteins,corn gluten meal,2,2,2,5,5,5,2,2,2,1,1,1,0,0,0,
Plant proteins,faba beans ,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,
Plant proteins,lupins,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,
Plant proteins,sunflower meal,1,1,1,2,2,2,1,1,1,0.5,0.5,0.5,0,0,0,
Plant proteins,pea protein concentrate,1,1,1,2,2,2,1,1,1,0.5,0.5,0.5,5,5,5,
Plant proteins,guar meal,5,5,5,2,2,20,5,5,5,5,5,5,5,5,5,
Plant oils totals,,10,10,10,20,20,20,10,10,10,5,5,5,15,15,15,
Plant oils ,soy oil,2,2,2,20,0,0,2,2,2,1,1,1,5,5,5,
Plant oils ,canola/camelina oil,6,6,6,0,20,20,6,6,6,3,3,3,5,5,5,
Plant oils ,linseed oil,2,2,2,0,0,0,2,2,2,1,1,1,5,5,5,
Carbohydrates totals,,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,
Carbohydrates ,wheat,6,6,6,7,7,7,6,6,6,5,5,5,5,5,5,
Carbohydrates ,pea starch,2,2,2,1,1,1,2,2,2,5,5,5,5,5,5,
Carbohydrates ,corn starch,2,2,2,1,1,1,2,2,2,5,5,5,5,5,5,
Carbohydrates ,tapioca starch,0,0,0,1,1,1,0,0,0,5,5,5,5,5,5,
Land animal proteins totals,,0,,,0,0,0,0,0,0,10,10,10,5,5,5,
LAPs,feather meal,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,
LAPs,blood meal,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,
LAPs,bone meal,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,
LAPs,insect meal,0,0,0,0,0,0,0,0,0,0,3,4,5,5,5,
Land animal oils totals,,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,
LAOs,poultry oil,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,
LAOs,insect oil,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,
Single-cell product totals,,0,0,0,0,0,0,0,0,0,10,10,10,20,20,20,
SCPs,algal biomass,0,0,0,0,0,0,0,0,0,5,10,0,20,0,10,
SCPs,bacterial meal,0,0,0,0,0,0,0,0,0,5,0,10,0,20,10,
Microingredient totals,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Totals,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,